player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,ts_pct,gp_pred,pts_pred,reb_pred,ast_pred
Quentin Grimes,NYK,23.0,195.58,95.25432,71,11.3,3.2,2.1,4.4,0.619,65.06,11.434000000000001,3.2739999999999996,2.149
Quenton Jackson,WAS,24.0,195.58,78.471416,9,6.2,0.9,1.7,-6.7,0.542,32.339999999999996,4.345999999999999,1.6809999999999996,1.3410000000000002
Pat Connaughton,MIL,30.0,195.58,94.800728,61,7.6,4.6,1.3,3.4,0.531,51.96,7.166,3.5700000000000003,1.327
RJ Barrett,NYK,23.0,198.12,97.068688,73,19.6,5.0,2.8,-1.2,0.531,68.68,19.554999999999993,4.8610000000000015,2.9919999999999995
Precious Achiuwa,TOR,23.0,203.2,102.0582,55,9.2,6.0,0.9,-1.6,0.5539999999999999,50.26,8.401,4.811999999999999,0.8800000000000014
RaiQuan Gray,BKN,23.0,200.66,122.016248,1,16.0,9.0,7.0,-17.5,0.621,57.75,18.503,7.276000000000001,5.363
R.J. Hampton,DET,22.0,193.04,79.3786,47,6.4,1.9,1.1,-8.7,0.5579999999999999,49.09,6.941,2.2200000000000015,1.4760000000000006
Peyton Watson,DEN,20.0,200.66,90.7184,23,3.3,1.6,0.5,-12.0,0.5529999999999999,40.98,4.283000000000002,2.1050000000000004,0.6759999999999984
Patrick Beverley,CHI,34.0,187.96,81.64656,67,6.2,3.7,2.9,-1.5,0.534,55.31,7.793000000000001,3.3009999999999997,3.0130000000000003
Paul Reed,PHI,24.0,205.74,95.25432,69,4.2,3.8,0.4,-0.4,0.62,53.63,6.4780000000000015,4.194000000000001,1.0350000000000006
Paul George,LAC,33.0,203.2,99.79024,56,23.8,6.1,5.1,4.0,0.588,61.17,24.289999999999996,6.146999999999999,5.002000000000001
Patty Mills,BKN,34.0,182.88,81.64656,40,6.2,1.1,1.4,-5.8,0.5539999999999999,41.239999999999995,5.469999999999998,1.9260000000000004,1.5799999999999998
Pascal Siakam,TOR,29.0,203.2,104.32616,71,24.2,7.8,5.8,2.4,0.565,65.63,25.12299999999999,7.943999999999994,5.553000000000002
Patrick Williams,CHI,21.0,200.66,97.52228,82,10.2,4.0,1.2,-2.4,0.5760000000000001,66.7,9.599,4.035,1.5569999999999997
Patrick Baldwin,GSW,20.0,205.74,99.79024,31,3.9,1.3,0.4,-12.3,0.546,44.79,5.334999999999996,2.882,0.9420000000000002
Raul Neto,CLE,31.0,187.96,81.64656,48,3.3,1.0,1.6,1.4,0.628,46.62,4.836,1.8949999999999996,1.7740000000000002
Payton Pritchard,BOS,25.0,185.42,88.45044,48,5.6,1.8,1.3,1.4,0.536,55.04,7.076999999999998,2.2970000000000006,1.7999999999999998
Reggie Bullock,DAL,32.0,198.12,92.98636,78,7.2,3.6,1.4,-1.8,0.5770000000000001,67.47999999999999,8.581000000000001,4.011,1.717
Russell Westbrook,LAC,34.0,190.5,90.7184,73,15.9,5.8,7.5,-0.2,0.513,58.25,17.832,5.336,7.033000000000005
Richaun Holmes,SAC,29.0,203.2,106.59412,42,3.1,1.9,0.2,-9.3,0.6679999999999999,46.36,5.072999999999999,3.080000000000001,0.7729999999999997
Saddiq Bey,ATL,24.0,200.66,97.52228,77,13.8,4.7,1.5,-3.1,0.564,66.15,14.030999999999999,4.679,2.132
Paolo Banchero,ORL,20.0,208.28,113.398,72,20.0,6.9,3.7,-4.2,0.529,63.03999999999999,21.319,7.349,3.872
Sam Hauser,BOS,25.0,200.66,98.429464,80,6.4,2.6,0.9,7.7,0.634,66.69999999999999,8.507,3.473,1.552
Saben Lee,PHX,24.0,187.96,83.007336,25,6.0,1.8,2.7,-4.4,0.517,40.83,5.472999999999996,1.7340000000000013,2.274
Ryan Rollins,GSW,20.0,190.5,81.64656,12,1.9,1.0,0.5,-38.1,0.508,29.879999999999992,4.7349999999999985,2.010000000000001,1.3170000000000002
Ryan Arcidiacono,POR,29.0,190.5,88.45044,20,1.3,0.8,1.2,-12.8,0.351,38.72,3.6830000000000016,1.7579999999999996,1.2749999999999997
Rui Hachimura,LAL,25.0,203.2,104.32616,63,11.2,4.5,0.9,-1.2,0.556,58.78,10.616999999999999,4.117,1.3540000000000003
Rudy Gobert,MIN,31.0,215.9,117.026736,70,13.4,11.6,1.2,0.4,0.675,66.32999999999998,13.510000000000002,10.465000000000005,1.3760000000000003
Rudy Gay,UTA,36.0,203.2,113.398,56,5.2,2.9,1.0,2.9,0.473,48.370000000000005,6.823,3.1070000000000007,1.5759999999999998
Royce O'Neale,BKN,30.0,198.12,102.511792,76,8.8,5.1,3.7,2.1,0.5379999999999999,65.31,9.737,4.026,3.081
Ron Harper Jr.,TOR,23.0,195.58,111.13004,9,2.2,0.8,0.4,21.8,0.608,32.38000000000001,4.572000000000001,2.3859999999999997,1.0019999999999998
Romeo Langford,SAS,23.0,195.58,97.975872,43,6.9,2.7,1.2,-8.5,0.524,51.21,6.822000000000003,2.686,1.44
Rodney McGruder,DET,31.0,193.04,92.98636,32,5.7,2.3,0.9,-3.5,0.5660000000000001,44.64,5.727999999999999,2.354000000000001,1.1769999999999998
Robin Lopez,CLE,35.0,213.36,127.459352,37,3.0,1.4,0.5,-8.7,0.675,49.81,5.739999999999996,3.705,0.8129999999999988
Robert Williams III,BOS,25.0,205.74,107.501304,35,8.0,8.3,1.4,11.4,0.742,49.1,8.703000000000001,7.513,1.3250000000000006
Robert Covington,LAC,32.0,200.66,94.800728,48,6.0,3.5,1.2,-1.0,0.584,51.3,6.844999999999999,3.4040000000000004,1.3940000000000003
Ricky Rubio,CLE,32.0,187.96,86.18248,33,5.2,2.1,3.5,3.0,0.442,47.63000000000001,6.725,2.1080000000000005,3.262
Reggie Jackson,DEN,33.0,187.96,94.347136,68,10.2,2.1,3.4,-2.2,0.514,69.24000000000001,8.552000000000001,2.130000000000001,2.872
PJ Dozier,SAC,26.0,198.12,92.98636,16,1.4,0.9,0.6,-12.9,0.3329999999999999,27.13,4.345,2.2220000000000004,1.0159999999999996
Montrezl Harrell,PHI,29.0,200.66,108.86208,57,5.6,2.8,0.6,2.2,0.631,52.95,6.646000000000001,3.2910000000000004,1.0570000000000004
P.J. Tucker,PHI,38.0,195.58,111.13004,75,3.5,3.9,0.8,4.0,0.5660000000000001,56.9,6.757999999999999,3.512,1.3920000000000003
Naz Reid,MIN,23.0,205.74,119.748288,68,11.5,4.9,1.1,-4.2,0.617,57.8,10.931,5.140000000000001,1.4500000000000002
Nathan Knight,MIN,25.0,203.2,114.758776,38,3.7,1.5,0.3,-2.3,0.655,55.589999999999996,5.933,3.1100000000000003,0.9390000000000001
Nassir Little,POR,23.0,195.58,99.79024,54,6.6,2.6,0.9,-8.8,0.555,56.79,7.606,2.7939999999999996,1.3359999999999999
Naji Marshall,NOP,25.0,200.66,99.79024,77,9.1,3.6,2.5,-0.1,0.539,68.13000000000001,9.827,3.976,2.696
Myles Turner,IND,27.0,210.82,113.398,62,18.0,7.5,1.4,-1.2,0.6509999999999999,65.33999999999999,15.852000000000002,8.120999999999999,1.8700000000000003
Moussa Diabate,LAC,21.0,208.28,95.25432,22,2.7,2.3,0.2,-3.2,0.546,40.59,3.953000000000003,2.589999999999999,0.6129999999999991
Moses Moody,GSW,21.0,195.58,95.707912,63,4.8,1.7,0.8,-0.6,0.603,59.81,7.305,2.5540000000000003,1.2810000000000001
Moses Brown,BKN,23.0,218.44,111.13004,36,4.3,3.9,0.1,3.5,0.607,40.870000000000005,4.808000000000006,3.996,0.5540000000000014
Moritz Wagner,ORL,26.0,210.82,111.13004,57,10.5,4.5,1.5,-1.1,0.63,55.42,9.623,4.952000000000001,1.4390000000000003
Monte Morris,WAS,28.0,187.96,83.007336,62,10.3,3.4,5.3,0.1,0.579,65.64,11.473,3.2119999999999997,4.978
Mo Bamba,LAL,25.0,213.36,104.779752,49,6.6,4.6,0.9,1.5,0.602,39.62,6.224,4.104,0.9220000000000006
Mitchell Robinson,NYK,25.0,213.36,108.86208,59,7.4,9.4,0.9,7.3,0.652,54.24,8.785,8.883,1.272000000000001
Miles McBride,NYK,22.0,187.96,88.45044,64,3.5,0.8,1.1,3.6,0.475,56.63,5.7579999999999965,1.8930000000000005,1.5299999999999998
Mike Muscala,BOS,31.0,210.82,108.86208,63,6.1,3.2,0.8,8.8,0.608,51.67,7.02,3.6270000000000002,1.1140000000000005
Mike Conley,MIN,35.0,185.42,79.3786,67,11.9,2.7,6.7,1.3,0.583,60.37,11.989,3.2009999999999996,5.913000000000004
